imdb_id,title,duration,genre,rating,vote_count,gross,year
tt0220099,The Tigger Movie,77,"['Animation, Comedy, Drama']",6.3,17109,45554533,2000
tt0134983,Supernova,90,"['Horror, Sci-Fi, Thriller']",4.9,17003,14218868,2000
tt0192731,Urban Legends: Final Cut,97,"['Horror, Mystery, Thriller']",4.3,16077,21468807,2000
tt0204175,Boys and Girls,94,"['Comedy, Drama, Romance']",5.4,15948,20627372,2000
tt0205873,The Dish,101,"['Comedy, Drama, History']",7.1,15270,2252970,2000
tt0176783,Gossip,90,"['Drama, Mystery, Thriller']",5.9,14381,5108820,2000
tt0186975,Down to You,91,"['Comedy, Drama, Romance']",5.0,14325,20035310,2000
tt0206917,The Man Who Cried,100,"['Drama, Music, Romance']",6.2,14236,739583,2000
tt0163983,Bless the Child,107,"['Crime, Drama, Horror']",5.1,13841,29374178,2000
tt0234000,Kaho Naa... Pyaar Hai,172,"['Musical, Romance, Thriller']",6.9,13673,356000,2000
tt0217756,Ready to Rumble,107,"['Comedy, Sport']",5.4,13509,12372410,2000
tt0173716,Cecil B. Demented,87,"['Comedy, Crime, Thriller']",6.3,13504,1284646,2000
tt0186045,Drowning Mona,96,"['Comedy, Crime, Mystery']",5.7,13373,15427192,2000
tt0160611,Ordinary Decent Criminal,93,"['Comedy, Crime']",6.4,13339,,2000
tt0210065,Gangster No. 1,103,"['Crime, Drama, Thriller']",6.8,13092,30915,2000
tt0149624,All the Pretty Horses,116,"['Drama, Romance, Western']",5.8,12880,15527125,2000
tt0204137,Animal Factory,94,"['Crime, Drama']",6.6,12791,43805,2000
tt0243862,Italiensk for begyndere,112,"['Comedy, Drama, Romance']",7.0,12762,4447186,2000
tt0238883,Brat 2,122,"['Action, Crime, Thriller']",7.8,12398,,2000
tt0205177,Kevin &amp; Perry Go Large,82,"['Comedy, Music']",5.6,12395,,2000
tt0213790,The Ladies Man,84,['Comedy'],5.2,12384,13592872,2000
tt0275773,Versus,119,"['Action, Drama, Fantasy']",6.4,12380,,2000
tt0175526,Cherry Falls,92,"['Horror, Mystery, Thriller']",5.2,12235,,2000
tt0275230,Blood: The Last Vampire,48,"['Animation, Action, Horror']",6.7,11909,,2000
tt0216625,Code Unknown,118,['Drama'],7.2,11837,95242,2000
tt0162983,Hanging Up,94,"['Comedy, Drama']",4.9,11792,36050230,2000
tt0184907,Snow Day,89,"['Adventure, Comedy, Family']",5.1,11537,60020107,2000
tt0157262,2001: A Space Travesty,99,"['Comedy, Sci-Fi']",3.6,11425,,2000
tt0213203,Rugrats in Paris,78,"['Animation, Adventure, Comedy']",6.1,11169,76507756,2000
